ProjectName,Street,City,State,Zipcode,full_address,CertLevel,CertDate,LEEDSystemVersionDisplayName,GrossFloorArea,ProjectTypes,OwnerOrganization
Harlem Dream Project- Residential,104 2nd Avenue,New York,NY,10003,"104 2nd Avenue, New York, NY 10003",,,LEED-NC v2009,82365.0,Multi-Family Residential: Apartment,Jonathan Rose Companies
SVA- 3rd Floor: INTERACTIVE DESIGN,136 West 21st,New York,NY,11691,"136 West 21st, New York, NY 11691",,,LEED-CI v2009,5439.0,Core Learning Space: College/University,School Of Visual Arts
SVA- 3rd Floor: FINE ARTS DEPARTMENT,335 WEST 16TH ST,New York,NY,10011,"335 WEST 16TH ST, New York, NY 10011",,,LEED-CI v2009,7840.0,Core Learning Space: College/University,School Of Visual Arts
UN Women,220 E 42nd St,New York,NY,10017,"220 E 42nd St, New York, NY 10017",,,LEED-CI v2009,8945.0,Office: Government,UN Women
Manhattan Mall,100 West 33rd Street,New York,NY,10001,"100 West 33rd Street, New York, NY 10001",,,LEED-EB:OM v2009,1040000.0,Commercial Office,Vornado Realty Trust
Future Condo,200 East 32nd Street,New York,NY,10016,"200 East 32nd Street, New York, NY 10016",,,LEED-EB:OM v2009,191151.0,Multi-Family Residential: Condominium,The Future Condo
Homewood Suites Midtown Manhattan-Times,312 W 37th Street,New York,NY,10018,"312 W 37th Street, New York, NY 10018",Silver,2023-01-20 00:00:00,LEED-NC v2009,138675.0,"Lodging: Hotel/Motel/Resort, Select Service",WEst 37th Street Partners LLC
900 Third Avenue,900 Third Avenue,New York,NY,10022,"900 Third Avenue, New York, NY 10022",Gold,2013-10-02 00:00:00,LEED-EB:OM v2009,591315.0, ,"Paramount Group, INC."
Archer Hotel 45 West 38th Street,45 West 38th St.,New York,NY,10018,"45 West 38th St., New York, NY 10018",Silver,2015-06-30 00:00:00,LEED-NC v2009,77200.0,"Lodging: Hotel/Motel/Resort, Select Service","Manhattan LW Hotel Associates, LP"
837 Washington Street,837 Washington Street,New York,NY,10014,"837 Washington Street, New York, NY 10014",Silver,2016-10-05 00:00:00,LEED-CS v2009,52539.0,Office: Administrative/Professional,Taconic Investment Partners
Park Avenue Plaza,55 E. 52nd St.,New York,NY,10055,"55 E. 52nd St., New York, NY 10055",Silver,2013-07-12 00:00:00,LEED-EB:OM v2009,1155000.0,Office: Other Office,Fisher Brothers
605 Third Avenue,605 Third Avenue,New York,NY,10016,"605 Third Avenue, New York, NY 10016",Gold,2013-07-10 00:00:00,LEED-EB:OM v2009,934292.0,Commercial Office,Fisher Brothers
J Crew,770 Broadway,New York,NY,10003,"770 Broadway, New York, NY 10003",Silver,2013-01-23 00:00:00,LEED-CI v2009,58414.0,Office: Mixed-Use,Gardiner & Theobald
GAP NYC Headquarters Phase II,55 Thomas Street,New York,NY,10013,"55 Thomas Street, New York, NY 10013",Gold,2013-02-27 00:00:00,LEED-CI v2009,81456.0,Office: Administrative/Professional,"Gap, Inc."
160 East 22nd Street,160 East 22nd Street,New York,NY,10010,"160 East 22nd Street, New York, NY 10010",Certified,2017-05-01 00:00:00,LEED-NC v2009,112106.0,Multi-Family Residential: Condominium,TOLL BROTHERS CITY LIVING
Natixis NYC Office,1251 Avenue Of The Americas,New York,NY,10020,"1251 Avenue Of The Americas, New York, NY 10020",Gold,2012-12-03 00:00:00,LEED-CI v2009,126208.0,Office: Financial,Natixis
300 West 122nd Street,300 West 122nd Street,NEW YORK,NY,10010,"300 West 122nd Street, NEW YORK, NY 10010",,,LEED-NC v2009,200000.0,Multi-Family Residential: Apartment,RGS Holdings
MEETH - Old Building,210 E 64th Street,New York,NY,10065,"210 E 64th Street, New York, NY 10065",,,LEED-NC v2009,220000.0,"Health Care: Outpatient, Office (Diagnostic)",North Shore LIJ Health System
MEETH - New Building,222 East 64th St,New York,NY,10065,"222 East 64th St, New York, NY 10065",,,LEED-NC v2009,140000.0,Healthcare: Outpatient Office (Diagnostic),North Shore LIJ Health System
IFH at North General,1824 Madison Avenue,New York,NY,10035,"1824 Madison Avenue, New York, NY 10035",Certified,2014-03-11 00:00:00,LEED-NC v2009,36763.0,Health Care: Clinic/Other Outpatient,The Institute For Family Health
Morgan Stanley - 1NYP,1 New York Plaza,New York,NY,10004,"1 New York Plaza, New York, NY 10004",Gold,2015-01-12 00:00:00,LEED-CI v2009,125035.0,Office: Financial,Morgan Stanley
East 13th Street,211 East 13th Street,New York,NY,10003,"211 East 13th Street, New York, NY 10003",Gold,2016-01-25 00:00:00,LEED-NC v2009,91145.0,Multi-Family Residential: Condominium,"207 Development Partners, LLC"
NYC - Parks - Tavern on the Green,1 Tavern On The Green,New York,NY,10023,"1 Tavern On The Green, New York, NY 10023",,,LEED-CS v2009,18791.0,Retail: Restaurant/Cafeteria,NYC Department Of Parks And Recreation
Watts and West,281 West Street,New York,NY,10013,"281 West Street, New York, NY 10013",Gold,2017-05-22 00:00:00,LEED-NC v2009,129057.0,Multifamily Residential: Apartment,Related
730 Third Avenue,730 Third Avenue,New York,NY,10017,"730 Third Avenue, New York, NY 10017",Gold,2012-08-02 00:00:00,LEED-EB:OM v2009,627844.0,Office: Mixed-Use,TIAA-CREF
MSCI Inc,7 World Trade Center,New York,NY,10007,"7 World Trade Center, New York, NY 10007",Gold,2013-04-12 00:00:00,LEED-CI v2009,125811.0,Office: Administrative/Professional,MSCI Inc.
Kohls New York Design Office-Floor 21,1400 Broadway,New York,NY,10018,"1400 Broadway, New York, NY 10018",Certified,2014-03-25 00:00:00,LEED-CI v2009,12380.0,Office: Administrative/Professional,Kohl's Department Stores
200 Hudson,200 Hudson St,New York,NY,10013,"200 Hudson St, New York, NY 10013",,,LEED-CI v2009,250000.0,Office: Other Office,Havas
Global Total Office,386 Park Avenue South,New York,NY,10016,"386 Park Avenue South, New York, NY 10016",Gold,2013-02-14 00:00:00,LEED-CI v2009,8438.0,Retail: Other Retail,Global - The Total Office
1221 Avenue of the Americas,1221 Avenue Of The Americas,New York,NY,10020,"1221 Avenue Of The Americas, New York, NY 10020",Silver,2014-08-20 00:00:00,LEED-EB:OM v2009,2516180.0,Office: Mixed-Use,Rockefeller Group
Dream Charter School- Interior fit-out,East 104th Street,New York,NY,10029,"East 104th Street, New York, NY 10029",Gold,2017-03-31 00:00:00,LEED-CI v2009,54380.0,Core Learning Space: K-12 Elementary/Middle School,Harlem RBI
400 Park Avenue South,400 Park Avenue South,New York,NY,10016,"400 Park Avenue South, New York, NY 10016",Certified,2016-06-24 00:00:00,LEED-NC v2009,475443.0,Multi-Family Residential: Apartment,"ET 400 PAS, LLC (Equity Residential)"
200 Lafayette,200 Lafayette Street,New York,NY,10012,"200 Lafayette Street, New York, NY 10012",,,LEED-CS v2009,110252.0,Office: Mixed-Use,Kushner Companies
TCO 9th Floor,200 5th Avenue,New York,NY,10010,"200 5th Avenue, New York, NY 10010",Platinum,2013-08-26 00:00:00,LEED-CI v2009,37286.0,Office: Administrative/Professional,Tiffany & Company
CRC NY Office,"1261 Broadway, Suite 608",New York,NY,10001,"1261 Broadway, Suite 608, New York, NY 10001",,,LEED-CI v2009,3200.0,Office: Administrative/Professional,"CRC Engineering, P.C."
NOMURA WWP,World Wide Plaza,New York,NY,10019,"World Wide Plaza, New York, NY 10019",Platinum,2013-12-04 00:00:00,LEED-CI v2009,494485.0,Office: Administrative/Professional,Nomura Securities
8 W 40th Street,8 W 40th St.,New York,NY,10018,"8 W 40th St., New York, NY 10018",Certified,2013-02-25 00:00:00,LEED-EB:OM v2009,121758.0,Office: Mixed-Use,"JACK RESNICK & SONS, INC."
315 Hudson Street,315 Hudson St.,New York,NY,10013,"315 Hudson St., New York, NY 10013",Certified,2013-04-17 00:00:00,LEED-EB:OM v2009,427972.0,Office: Mixed-Use,Jack Resnick & Sons
56 West 45th Street Selective Renovation,56 West 45th Street,New York,NY,10036,"56 West 45th Street, New York, NY 10036",,,LEED-CI v2009,889.0,Office: Administrative/Professional,Valeray Real Estate
Related Companies 423 West 55th St 11Flr,423 West 55th Street,New York,NY,10019,"423 West 55th Street, New York, NY 10019",Silver,2016-09-06 00:00:00,LEED-CI v2009,18427.0,Commercial Office,The Related Companies
Atelier Condo,635 West 42nd Street,New York,NY,10036,"635 West 42nd Street, New York, NY 10036",,,LEED-EB:OM v2009,470000.0,Multi-Family Residential: Condominium,Atelier Condo
West 29th Street,529 W. 29th St.,New York,NY,10001,"529 W. 29th St., New York, NY 10001",Silver,2016-01-21 00:00:00,LEED-NC v2009,130525.0,Multi-Family Residential: Apartment,"West 30th Highline Holdings, LLC"
BNY Mellon - OWS,One Wall Street,New York,NY,10005,"One Wall Street, New York, NY 10005",Gold,2013-06-19 00:00:00,LEED-CI v2009,10500.0,Office: Other Office,The Bank Of New York Mellon
BNY Mellon - 101 Barclay,"101 Barclay St, 10th Floor",New York,NY,10007,"101 Barclay St, 10th Floor, New York, NY 10007",Gold,2013-07-11 00:00:00,LEED-CI v2009,50500.0,Office: Other Office,The Bank Of New York Mellon
TD Bank - New York NY- 1031 First Avenue,1031 First Avenue,New York,NY,10022-2901,"1031 First Avenue, New York, NY 10022-2901",Gold,2014-10-19 00:00:00,LEED-CI Retail v2009,3785.0,Retail: Bank Branch,TD Bank
TD Bank - New York NY- 1375 Broadway,1375 Broadway,New York,NY,10018,"1375 Broadway, New York, NY 10018",,,LEED-CI Retail v2009,4117.0,Retail: Bank Branch,TD Bank
170 Amsterdam,170 Amsterdam,New York,NY,10023,"170 Amsterdam, New York, NY 10023",Certified,2016-08-24 00:00:00,LEED-NC v2009,229626.0,Multi-Family Residential: Apartment,Equity Residential
